CourseCode,CourseName,Origin,Question,OptionA,OptionB,OptionC,OptionD,Answer,RelatedTextbook,RelatedChapter
PSYC9110,Intro to Psychology,AI,"According to evolutionary psychology, the human mind is best understood as ",adapted to ancestral environments,shaped only by culture,unaffected by biology,entirely conscious,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,AI,"A good scientific theory must be general, parsimonious, and",falsifiable,proven,statistically significant,ethical,A,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,"The law of effect, proposed by Thorndike, is considered a",theory,hypothesis,law,construct,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,An operational definition is,a broad conceptual idea,a precise statement of how a variable is measured,a statistical test,a replication study,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Which of the following is an example of a measured variable?,self-esteem,anxiety,number of psychotherapy sessions,collective unconscious,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,The main advantage of descriptive research is that it,allows causal conclusions,provides a snapshot of current behaviour,eliminates confounds,uses random assignment,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,A case study is best described as,a controlled experiment,a detailed examination of one individual or group,a survey of a large population,a statistical correlation,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Which descriptive method involves observing behaviour in its natural environment?,survey,case study,naturalistic observation,experiment,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,The median is defined as,the most frequently occurring score,the arithmetic average,the middle score in a distribution,the spread of scores,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,A scatterplot is most often used in,descriptive research,correlational research,experimental research,meta-analysis,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,A correlation of r = 0.00 indicates,a strong positive relationship,a strong negative relationship,no linear relationship,a curvilinear relationship,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,"In correlational research, a third variable that explains the relationship between two others is called a",confound,common-causal variable,dependent variable,placebo,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,"In an experiment, the variable that is manipulated is the",dependent variable,confounding variable,independent variable,control variable,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,The main advantage of experimental research is that it,is inexpensive,allows causal conclusions,avoids ethical concerns,uses surveys,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Double-blind experiments are designed to reduce,statistical errors,experimenter bias and participant expectancy effects,external validity,construct validity,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Construct validity refers to,whether the independent variable caused the dependent variable,whether the measures accurately assess the conceptual variables,whether results generalize to other populations,whether statistical tests were interpreted correctly,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Internal validity is threatened when,a confounding variable explains the results,the sample is too small,the measures are unreliable,the results cannot generalize,A,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,External validity refers to,the accuracy of statistical tests,the ability to generalize findings beyond the study,the elimination of confounds,the precision of operational definitions,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Meta-analysis is best described as,a single case study,a statistical summary of many studies,a replication of one experiment,a descriptive survey,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,Which ethical safeguard requires researchers to explain the true purpose of a study after participation?,confidentiality,informed consent,debriefing,random assignment,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,The Canadian Psychological Association’s guidelines require that animal research be conducted only if,it is inexpensive,it causes no stress whatsoever,it has potential scientific or health benefits,students request it,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,AI,The all-or-nothing principle of the action potential means that,neurons can fire at different strengths,neurons either fire completely or not at all,neurons fire more strongly with stronger stimuli,neurons can partially fire,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The refractory period of a neuron refers to,the time when the neuron is hyperactive,the brief time after firing when it cannot fire again,the period of neurotransmitter release,the resting potential,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which neurotransmitter is most associated with mood regulation and depression?,dopamine,serotonin,acetylcholine,GABA,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Endorphins are best known for,regulating digestion,acting as natural painkillers,controlling voluntary movement,stimulating memory,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Excess glutamate is most likely to cause,tremors and seizures,improved memory,enhanced mood,slowed heart rate,A,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which brain structure is sometimes called the 'little brain' and is important for balance and coordination?,hippocampus,cerebellum,thalamus,amygdala,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The hypothalamus is involved in regulating,vision and hearing,"hunger, thirst, and sex",voluntary movement,long-term memory,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Damage to the hippocampus would most directly impair,fear responses,forming new memories,voluntary movement,language comprehension,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The corpus callosum is responsible for,controlling balance,connecting the two hemispheres,regulating hormones,producing speech,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Contralateral control means that,each hemisphere controls the same side of the body,the left hemisphere controls the right side and vice versa,the brain controls only voluntary movement,the hemispheres function independently,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which lobe contains the auditory cortex?,frontal,temporal,parietal,occipital,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which brain imaging technique measures blood flow to indicate neural activity?,EEG,fMRI,PET,CT,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which method uses magnetic pulses to temporarily deactivate a brain region?,EEG,fMRI,TMS,PET,C,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The famous case of Phineas Gage provided evidence that the frontal lobe is involved in,vision,emotion and moral reasoning,language comprehension,muscle coordination,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The autonomic nervous system controls,voluntary muscle movement,internal organs and glands,language comprehension,reflex arcs,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The parasympathetic nervous system is responsible for,fight-or-flight responses,rest and digest functions,voluntary movement,emotional regulation,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,The pituitary gland is often called the,master gland,adrenal gland,thyroid gland,sex gland,A,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which hormones are secreted by the adrenal glands during stress?,serotonin and dopamine,epinephrine and norepinephrine,estrogen and progesterone,insulin and glucagon,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Neuroplasticity refers to,the brain’s ability to change and reorganize,production of new neurotransmitters,the protective role of the myelin sheath,the brain’s inability to adapt,A,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Which hemisphere is typically dominant for language in most people?,right,left,both equally,neither,B,Introduction to Psychology,"4 - Brains, Bodies, and Behaviour"
PSYC9110,Intro to Psychology,AI,Weber’s law states that the just noticeable difference is,a fixed amount,a constant proportion of the original stimulus,unrelated to stimulus size,always detectable,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,"According to signal detection theory, a 'false alarm' occurs when",a signal is present but missed,a signal is absent but reported,a signal is present and detected,a signal is absent and rejected,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Which photoreceptor is concentrated in the fovea and specialized for detail and colour?,rods,cones,ganglion cells,bipolar cells,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The blind spot in vision occurs because,rods are absent,cones are absent,the optic nerve leaves the retina,light cannot reach the cornea,C,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Which theory of colour vision explains afterimages?,trichromatic theory,opponent-process theory,place theory,frequency theory,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,"The ossicles (hammer, anvil, stirrup) function to",transduce sound into neural signals,amplify vibrations from the eardrum,detect pitch,send signals to the cortex,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The frequency theory of hearing is limited because,neurons cannot fire fast enough for very high pitches,it only explains low-frequency sounds,it ignores amplitude,cilia cannot detect low tones,A,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Which structure contains the hair cells that transduce sound?,pinna,ossicles,cochlea,tympanic membrane,C,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Sensorineural hearing loss is most often caused by,damage to ossicles,damage to hair cells or auditory nerve,damage to the eardrum,fluid in the middle ear,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Umami is best described as the taste of,sweetness,spiciness,savoury/meaty flavour,sourness,C,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Which sense is most closely tied to memory and emotion?,vision,olfaction,taste,touch,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,"The vestibular system, important for balance, is located in the",frontal lobe,inner ear,parietal cortex,spinal cord,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Gate control theory suggests pain can be reduced by,blocking small pain fibres with larger sensory input,ignoring the stimulus,lowering thresholds,chemical imbalance,A,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The Gestalt principle of closure refers to our tendency to,group nearby elements,fill in gaps to see a whole object,see continuous lines,distinguish figure from ground,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Which monocular cue explains why parallel lines appear to converge in the distance?,relative size,linear perspective,interposition,texture gradient,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The visual cliff experiment by Gibson and Walk demonstrated,infants lack depth perception,depth perception is partly innate,depth perception is entirely learned,infants cannot perceive motion,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The phi phenomenon refers to,illusory motion from flashing lights,depth perception from two eyes,colour constancy,perceptual adaptation,A,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Perceptual constancy allows us to,see objects as changing with distance,perceive objects as stable despite changes in sensation,ignore illusions,adapt to sensory loss,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The McGurk effect demonstrates,sensory adaptation,interaction between vision and hearing,olfactory influence on taste,perceptual constancy,B,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,Synesthesia is a condition in which,one sense triggers another (e.g. seeing colours when hearing sounds),senses fail to interact,perception is always accurate,thresholds are unusually high,A,Introduction to Psychology,5 - Sensing & Perceiving
PSYC9110,Intro to Psychology,AI,The body’s primary circadian pacemaker is the,pineal gland,suprachiasmatic nucleus,hippocampus,amygdala,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Which hormone is secreted by the pineal gland to promote sleep?,dopamine,melatonin,serotonin,acetylcholine,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Stage N3 sleep is characterized by,beta waves,alpha waves,delta waves,random fast activity,C,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,REM sleep is associated with,sleep spindles,slow delta waves,dreaming and muscle paralysis,night terrors,C,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Sleepwalking and night terrors most often occur during,REM sleep,N1 sleep,N2 sleep,N3 sleep,D,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Which sleep disorder involves pauses in breathing during sleep?,narcolepsy,sleep apnea,insomnia,restless legs syndrome,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Narcolepsy is characterized by,difficulty falling asleep,extreme daytime sleepiness and sudden REM episodes,violent movements during REM,nightmares,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Freud believed dreams primarily serve as,memory consolidation,random brain activity,wish fulfillment,problem-solving,C,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,The activation-synthesis theory of dreaming suggests dreams are,hidden desires,consolidated memories,interpretations of random neural firing,spiritual messages,C,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,"Which stimulant blocks reuptake of dopamine, norepinephrine, and serotonin?",alcohol,heroin,cocaine,LSD,C,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Opioids such as morphine and heroin mimic the effects of,dopamine,endorphins,serotonin,GABA,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,"Which drug has the lowest safety ratio, making overdose most likely?",marijuana,LSD,heroin,ketamine,C,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Which of the following is a depressant?,nicotine,alcohol,cocaine,amphetamines,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Sensory deprivation tanks are sometimes used to,induce hallucinations only,reduce stimulation for relaxation and therapy,improve memory consolidation,replace REM sleep,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,AI,Research shows regular meditation is associated with,increased sympathetic arousal,slower brain waves and reduced stress,loss of consciousness,impaired attention,B,Introduction to Psychology,6 - States of Consciousness
PSYC9110,Intro to Psychology,T,The word 'psychology' comes from:,Latin,Spanish,Greek,Italian,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Psychology is defined as the scientific study of:,people and things,emotions and beliefs,perception and religion,mind and behaviour,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,The scientific approach is more useful at answering questions about ______ than questions about ______.,"facts, values","ideas, emotions","values, facts","emotions, ideas",A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,"According to the text, the lower level of explanation corresponds to ______ processes.",social,cultural,biological,interpersonal,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,A psychologist exploring the impact of a new drug on activity in the brain is working on the ______ level of explanation.,lower,middle,upper,all of the above,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,A psychologist studying what makes people laugh in different countries around the world is working on the ______ level of explanation.,lower,middle,higher,none of the above,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Different people react differently to the same situation. This is referred to as:,multiple determinants,nativism,the Simpson effect,individual differences,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,______ is to nature as ______ is to nurture.,"environment, genes","conscious, unconscious","inaccuracy, accuracy","biology, experience",D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,The term 'tabula rasa' highlights the importance of ______ in shaping behaviour.,genes,experience,nature,predestination,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,The Greek philosopher ______ believed that knowledge is acquired through experience and learning.,Archimedes,Rousseau,Plato,Aristotle,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,______ is to nature as ______ is to nurture.,"Plato, Aristotle","Aristotle, Plato","Pliny, Archimedes","Stavros, Pliny",A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,______ is the belief that the mind is fundamentally different from the body.,mindism,dualism,centralism,specialism,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,The school of psychology whose goal was to identify the basic elements of experience was called:,experientialism,dualism,functionalism,structuralism,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Which of the following was most closely associated with the structuralist school of psychology?,Titchener,James,Descartes,Watson,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Darwin’s theory of ______ argued that physiological characteristics evolve because they are useful to the organism.,extreme usefulness,natural endowment,natural selection,natural wellbeing,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,______ was to structuralism as ______ was to functionalism.,"Wundt, Titchener","Wundt, James","James, Titchener","Milner, Thompson",B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Freud championed ______ psychology.,psychodynamic,cultural,conscious,biodynamic,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Which school of psychology believes that it is impossible to objectively study the mind?,functionalism,behaviorism,humanism,socialism,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Receiving an electric shock would be an example of a ______ whereas being frightened would be an example of a ______.,"stimulus, response","punishment, reward","reaction, emotion","reinforcement, stimulus",A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Dr Pula wants to explore differences in child-rearing practices between British and Chinese parents. She is most likely a:,cognitive psychologist,physiological psychologist,cognitive-ergonomic psychologist,social-cultural psychologist,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Nature is to ________ as nurture is to ________.,environment/genes,conscious/unconscious,genes/environment,unconscious/conscious,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Freud emphasized the role of ________ in shaping people’s personality.,free will,unconscious desires,hormones,group influence,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Evolutionary psychology has its roots in:,behaviourism,collectivism,functionalism,structuralism,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Most human behaviour:,can be easily explained,has multiple causes,stems from unconscious desires,depends on social influence,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,A forensic psychologist would be most likely to study:,the accuracy of eyewitness memory,the impact of advertising on shopping behaviour,the effect of hormones on decision making,gender differences in learning styles,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,The behaviourists rejected introspection because:,it was too slow,it invaded people’s privacy,it yielded too much data,it was too subjective,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Another term for reinforcement is:,stimulus,reward,response,condition,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,East Asian cultures tend to be more oriented toward ________ while Western cultures tend to be more oriented toward ________.,individualism/collectivism,collectivism/individualism,cultural norms/social norms,social norms/cultural norms,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Watson and Skinner both contributed to which school of psychology?,functionalism,cognitive,social-cultural,behaviourism,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,Which field of psychology would be most likely to study the influence of over-crowding on conformity?,personality,cognitive,clinical,social,D,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,T,The belief that complex behaviours can be understood as the sum of several simpler one’s is called:,reductionism,functionalism,introspection,animism,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Wundt’s primary method of research was:,experimentation,autoethnography,introspection,lesioning,C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Jung stated that humans possess both a ________ unconscious and a ________ unconscious:,shadow/manifest,personal/collective,introvert/extravert,phenomenal/latent,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Remembering that the capital of Canada is Ottawa requires:,sensory memory,semantic memory,episodic memory,procedural memory,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Which of the following psychologists was NOT a behaviourist?,Watson,Thorndike,Skinner,Maslow,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Positive reinforcement involves ________ something to increase a response whereas negative reinforcement involves ________ something.,repeating/increasing,adding/removing,removing/adding,increasing/repeating,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Two kinds of learning studied by behaviourists are:,classical conditioning and operant conditioning,manifest learning and latent learning,conscious learning and unconscious learning,operant conditioning and instrumental conditioning,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Which of the following is NOT a theory of dreaming?,expectation fulfillment,activation-synthesis,threat-simulation,elucidatory consciousness,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,"The brain has four lobes: occipital, frontal ________ and ________.","sympathetic, parasympathetic","Autonomic, somatic","temporal, parietal","visual, auditory",C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,A psychologist who practices Gestalt Therapy would most likely be a(n):,humanist,behaviourist,evolutionist,cognitivist,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,A psychologist primarily interested in mental processes such as memory and perception would most likely be a(n):,humanist,behaviourist,evolutionist,cognitivist,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Which of the following topics would be of least interest to a biological psychologist?,hunger,thirst,free will,sleep,C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,William James worked during the:,late 20th century,late 19th century,middle ages,the 1700s,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Freud argued that dreams have both ________ content and ________ content.,"Freudian, Jungian","conditioned, unconditioned","latent, manifest","somatic, autonomic",C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,"In Pavlov’s work dogs salivated naturally in response to being given meat powder. In this situation, salivation is the ________ while the meat powder is the ________.","UCR, UCS","USC, UCR","CS, CR","CR, CS",A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Which of the following was a humanistic psychologist?,Freud,Watson,Wernicke,Rogers,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,What are the two parts of the autonomic nervous system?,"somatic, autonomic","reflexive, responsive","sympathetic, parasympathetic","frontal, occipital",C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,MBTI stands for:,Manifold Barometric Temperature Indicator,Multiple Behavioural Theories Instrument,Myers Briggs Type Indicator,Maslow Bosun Trend Indicator,C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Which lobe of the brain is also known as the auditory cortex?,frontal,temporal,occipital,parietal,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Which of the following is NOT associated with Freud?,id,ego,shadow,super-ego,C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,"In Seligman’s ABCDE model of learned optimism, B stands for:",belief,behaviour,brain,blessing,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,________ needs were at the bottom of Maslow’s pyramid/hierarchy.,safety,self actualization,esteem,physiological,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,The idea that human behaviour may be the product of natural selection is central to:,humanistic psychology,evolutionary psychology,cognitive psychology,behavioural psychology,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,The movement known as radical behaviourism is most closely associated with:,Watson,Thorndike,Pavlov,Skinner,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Intrinsic motivation refers to:,enjoying a task for its own sake,being motivated by money and/or other rewards,enjoying a task because it meets physical needs,motivation that can only be experienced indoors,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Remembering what you ate for supper yesterday requires:,sensory memory,episodic memory,procedural memory,semantic memory,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,According to Freud the ________ content of a dream relates to the person’s unconscious wishes.,shadow,lateral,spreading,latent,D,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Humanistic psychology emerged during which decade?,1930s,1950s,1970s,1990s,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,"In Pavlov’s work, when dogs were trained to salivate to the sound of a bell that sound was the:",UCS,UCR,CS,CR,C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Another term for thinking about thinking is:,metacognition,perception,mediation,self-regulation,A,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,T,Statements based on the systematic collection of data are:,empirical,dialectic,empathic,FALSE,A,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,The goal of correlational research is to:,assess the causal impact of one variable on another,create a snapshot of what’s happening,assess relationships between variables,all of the above,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,A study of the feeding behaviour of a group of wild monkeys in India would be an example of:,a survey,naturalistic observation,a correlation,an experiment,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,If income and happiness are positively correlated then a person with a low income would be predicted to be:,not depressed at all,less depressed than a person with a high income,more depressed than a person with a high income,cannot make a prediction from correlational data,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,Descriptive statistics aim to:,explain,confuse,complicate,summarize,D,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,In a ________ experiment neither the researcher nor the participants know which condition participants are in.,blind,double-blind,random,confounded,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,"A researcher is interested in the impact of anxiety on performance. In order to manipulate anxiety, they have some subjects eat plain chips while others eat barbecue flavoured chips. The most obvious problem with this experiment is a lack of:",statistical validity,empirical validity,internal validity,construct validity,D,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,A strength of correlational designs is that they:,can demonstrate causation,do not require ethics board approval,can be used with variables which cannot be manipulated by a researcher,are more intrusive than experimental designs,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,"A researcher uses an experimental design to study the effect of music on memory. In this experiment, the Independent Variable is:",music,memory,both music and memory,neither music nor memory,A,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,"According to the text, which of the following is NOT a characteristic of a good theory?",it is parsimonious,it is falsifiable,it is common sense,it is general,C,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,Empirical statements are based on:,belief,data,intuition,common sense,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,Informed consent is typically obtained:,during an experiment,before an experiment,after an experiment,it is not typical to obtain informed consent,B,Introduction to Psychology,3 - Psychological Science
PSYC9110,Intro to Psychology,T,Creating equivalence among research participants is vital for:,experimental research,correlational research,descriptive research,equivalence is never vital,A,Introduction to Psychology,3 - Psychological Science
